Cuota,Interes,Amortizacion,Saldo Restante
1,400000.0,40258.74432762677,59959741.25567237
2,399731.6083711491,40527.135956477665,59919214.11971589
3,399461.4274647726,40797.316862854175,59878416.80285304
4,399189.44535235356,41069.29897527321,59837347.50387777
5,398915.65002585173,41343.09430177504,59796004.40957599
6,398640.02939717326,41618.71493045351,59754385.69464554
7,398362.5712976369,41896.17302998988,59712489.52161555
8,398083.26347743697,42175.48085018981,59670314.04076536
9,397802.0936051024,42456.650722524384,59627857.390042834
10,397519.0492669522,42739.69506067457,59585117.694982156
11,397234.11796654767,43024.62636107911,59542093.06862108
12,396947.2871241405,43311.457203486294,59498781.61141759
13,396658.5440761173,43600.200251509494,59455181.41116608
14,396367.8760744405,43890.86825318629,59411290.54291289
15,396075.2702860859,44183.474041540874,59367107.06887135
16,395780.71379247564,44478.030535151134,59322629.038336195
17,395484.19358890795,44774.550738718826,59277854.48759747
18,395185.69658398314,45073.047743643634,59232781.43985383
19,394885.20959902555,45373.534728601226,59187407.90512523
20,394582.7193675015,45676.02496012527,59141731.88016511
21,394278.21253443405,45980.53179319273,59095751.348371916
22,393971.6756558127,46287.06867181405,59049464.2797001
23,393663.09519800066,46595.64912962611,59002868.63057047
24,393352.45753713645,46906.286790490325,58955962.34377998
25,393039.74895853316,47218.99536909361,58908743.34841089
26,392724.9556560726,47533.78867155418,58861209.55973934
27,392408.0637315955,47850.68059603125,58813358.879143305
28,392089.0591942887,48169.68513333809,58765189.19400997
29,391767.9279600664,48490.81636756036,58716698.37764241
30,391444.65585094935,48814.088476677425,58667884.28916573
31,391119.2285944382,49139.5157331886,58618744.77343254
32,390791.63182288356,49467.112504743214,58569277.660927795
33,390461.8510728519,49796.893254774855,58519480.76767302
34,390129.8717844868,50128.872543139965,58469351.89512988
35,389795.67930086586,50463.065026760916,58418888.83010312
36,389459.25886735413,50799.48546027264,58368089.34464285
37,389120.5956309523,51138.1486966745,58316951.19594617
38,388779.67463964113,51479.06968798564,58265472.12625819
39,388436.48084172123,51822.26348590554,58213649.86277228
40,388090.9990851485,52167.74524247827,58161482.1175298
41,387743.2141168653,52515.53021076147,58108966.58731904
42,387393.1105821269,52865.63374549989,58056100.95357354
43,387040.6730238236,53218.07130380318,58002882.88226974
44,386685.8858817982,53572.85844582855,57949310.02382391
45,386328.73349215934,53930.01083546743,57895380.01298844
46,385969.20008658955,54289.54424103722,57841090.46874741
