Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,411.92,538.78," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,400.51,523.86," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,327.21,427.98," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,397.86,520.39," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,487.50,637.63," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,373.46,488.47," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,380.51,497.69," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,294.75,385.52," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,415.66,543.68," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,348.40,455.70," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,427.71,559.43," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,416.81,545.17," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,262.20,342.95," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,370.60,484.74," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,438.55,573.61," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,408.52,534.34," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,499.82,653.76," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,364.42,476.65," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,422.25,552.30," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,284.28,371.83," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,375.58,491.24," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,327.71,428.64," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,380.84,498.13," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,386.60,505.67," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,325.50,425.74," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,361.68,473.07," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,410.04,536.32," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,371.43,485.82," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,410.72,537.20," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,371.95,486.50," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,370.21,484.22," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,316.06,413.40," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,348.28,455.55," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,361.03,472.21," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,341.41,446.56," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,306.44,400.82," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,291.83,381.70," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,374.70,490.10," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,366.67,479.59," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,359.08,469.67," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,453.09,592.64," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,495.88,648.59," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,396.13,518.12," 251,793 ",,,,,,,,,,,
